Jayson Tatum, Celtics, 0, 22, PF, 2.03 m, 23.4, 7.0, $7830000
Joe Harris, Nets, 12, 28, SF, 1.98 m, 14.5, 4.3, $7666667
RJ Barrett, Knicks, 9, 20, SG, 1.98 m, 14.3, 5.0, $7839960
Ben Simmons, 76ers, 25, 24, PG, 2.08 m, 16.4, 7.8, $8113930
Matt Thomas, Raptors, 21, 26, SG, 1.93 m, 4.9, 1.5, $898310
Daniel Gafford, Bulls, 12, 21, PF, 2.08 m, 5.1, 2.5, $898310
Andre Drummond, Cavaliers, 3, 27, C, 2.08 m, 17.7, 15.2, $27093019
Langston Galloway, Pistons, 9, 28, SG, 1.85 m, 10.3, 2.3, $7333333
Justin Holiday, Pacers, 8, 31, SF, 1.98 m, 8.3, 3.3, $4767000
Khris Middleton, Bucks, 22, 29, SF, 2.01 m, 20.9, 6.2, $30603448
Skal Labissiere, Hawks, 7, 24, PF, 2.08 m, 5.8, 5.1, $2338847
PJ Washington, Hornets, 25, 22, PF, 2.01 m, 12.2, 5.4, $3831840
KZ Okpala, Heat, 4, 21, SF, 2.03 m, 1.4, 1.0, $898310
Wes Iwundu, Magic, 25, 25, SF, 1.98 m, 5.8, 2.5, $1618420
Rui Hachimura, Wizards, 8, 22, PF, 2.03 m, 13.5, 6.1, $4469160
Andrew Wiggins, Warriors, 22, 25, SF, 2.01 m, 21.8, 5.1, $27504630
Paul George, Clippers, 13, 30, SG, 2.03 m, 21.5, 5.7, $30560700
Avery Bradley, Lakers, 11, 29, PG, 1.91 m, 8.6, 2.3, $4767000
Jalen Lecque, Suns, 0, 20, PG, 1.93 m, 2.0, 0.4, $898310
Harry Giles III, Kings, 20, 22, C, 2.11 m, 6.9, 4.1, $2578800
J.J. Barea, Mavericks, 5, 36, PG, 1.78 m, 7.7, 1.8, $1620564
Bruno Caboclo, Rockets, 5, 24, SF, 2.06 m, 3.0, 2.0, $1845301
Josh Jackson, Grizzlies, 20, 23, SG, 2.03 m, 9.0, 3.1, $7059480
JJ Redick, Pelicans, 4, 36, SG, 1.91 m, 15.3, 2.5, $13486300
Trey Lyles, Spurs, 41, 24, C, 2.06 m, 6.4, 5.7, $5500000
Troy Daniels, Nuggets, 30, 29, SG, 1.93 m, 4.3, 1.1, $384541
Naz Reid, Timberwolves, 11, 21, C, 2.06 m, 9.0, 4.1, $898310
Luguentz Dort, Thunder, 5, 21, SG, 1.91 m, 6.8, 2.3, $155647
Jusuf Nurkic, Trail Blazers, 27, 26, C, 2.13 m, 17.6, 10.3, $13125000
Donovan Mitchell, Jazz, 45, 23, SG, 1.85 m, 24.0, 4.4, $3625760